IND,A,R,N,D,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,B,J,O,U,X,Z
QIAN880133 ,-0.42,-0.23,0.81,0.95,-0.18,-0.01,-0.09,1.24,0.05,-1.17,-0.69,0.09,-0.86,-0.39,1.77,0.63,0.29,-0.37,-0.41,-1.32,0,0,0,0,0,0
QIAN880134 ,-0.24,-0.04,0.45,0.65,-0.38,0.01,0.07,0.85,-0.21,-0.65,-0.8,0.17,-0.71,-0.61,2.27,0.33,0.13,-0.44,-0.49,-0.99,0,0,0,0,0,0
QIAN880135 ,-0.14,0.21,0.35,0.66,-0.09,0.11,0.06,0.36,-0.31,-0.51,-0.8,-0.14,-0.56,-0.25,1.59,0.32,0.21,-0.17,-0.35,-0.7,0,0,0,0,0,0
QIAN880136 ,0.01,-0.13,-0.11,0.78,-0.31,-0.13,0.09,0.14,-0.56,-0.09,-0.81,-0.43,-0.49,-0.2,1.14,0.13,-0.02,-0.2,0.1,-0.11,0,0,0,0,0,0
QIAN880137 ,-0.3,-0.09,-0.12,0.44,0.03,0.24,0.18,-0.12,-0.2,-0.07,-0.18,0.06,-0.44,0.11,0.77,-0.09,-0.27,-0.09,-0.25,-0.06,0,0,0,0,0,0
QIAN880138 ,-0.23,-0.2,0.06,0.34,0.19,0.47,0.28,0.14,-0.22,0.42,-0.36,-0.15,-0.19,-0.02,0.78,-0.29,-0.3,-0.18,0.07,0.29,0,0,0,0,0,0
QIAN880139 ,0.08,-0.01,-0.06,0.04,0.37,0.48,0.36,-0.02,-0.45,0.09,0.24,-0.27,0.16,0.34,0.16,-0.35,-0.04,-0.06,-0.2,0.18,0,0,0,0,0,0
RACS770101 ,934,962,986,994,0.9,1047,986,1015,882,766,825,1.04,804,773,1047,1056,1008,848,931,825,0,0,0,0,0,0
RACS770102 ,941,1112,1038,1071,866,1.15,1.1,1055,911,742,798,1232,781,723,1093,1082,1043,867,1.05,817,0,0,0,0,0,0
RACS770103 ,1.16,1.72,1.97,2.66,0.5,3.87,2.4,1.63,0.86,0.57,0.51,3.9,0.4,0.43,2.04,1.61,1.48,0.75,1.72,0.59,0,0,0,0,0,0
RACS820101 ,0.85,2.02,0.88,1.5,0.9,1.71,1.79,1.54,1.59,0.67,1.03,0.88,1.17,0.85,1.47,1.5,1.96,0.83,1.34,0.89,0,0,0,0,0,0
RACS820102 ,1.58,1.14,0.77,0.98,1.04,1.24,1.49,0.66,0.99,1.09,1.21,1.27,1.41,1,1.46,1.05,0.87,1.23,0.68,0.88,0,0,0,0,0,0
RACS820103 ,0.82,2.6,2.07,2.64,0,0,2.62,1.63,0,2.32,0,2.86,0,0,0,1.23,2.48,0,1.9,1.62,0,0,0,0,0,0
RACS820104 ,0.78,1.75,1.32,1.25,3.14,0.93,0.94,1.13,1.03,1.26,0.91,0.85,0.41,1.07,1.73,1.31,1.57,0.98,1.31,1.11,0,0,0,0,0,0
RACS820105 ,0.88,0.99,1.02,1.16,1.14,0.93,1.01,0.7,1.87,1.61,1.09,0.83,1.71,1.52,0.87,1.14,0.96,1.96,1.68,1.56,0,0,0,0,0,0
RACS820106 ,0.3,0.9,2.73,1.26,0.72,0.97,1.33,3.09,1.33,0.45,0.96,0.71,1.89,1.2,0.83,1.16,0.97,1.58,0.86,0.64,0,0,0,0,0,0
RACS820107 ,0.4,1.2,1.24,1.59,2.98,0.5,1.26,1.89,2.71,1.31,0.57,0.87,0,1.27,0.38,0.92,1.38,1.53,1.79,0.95,0,0,0,0,0,0
RACS820108 ,1.48,1.02,0.99,1.19,0.86,1.42,1.43,0.46,1.27,1.12,1.33,1.36,1.41,1.3,0.25,0.89,0.81,1.27,0.91,0.93,0,0,0,0,0,0
RACS820109 ,0,0,4.14,2.15,0,0,0,6.49,0,0,0,0,0,2.11,1.99,0,1.24,0,1.9,0,0,0,0,0,0,0
RACS820110 ,1.02,1,1.31,1.76,1.05,1.05,0.83,2.39,0.4,0.83,1.06,0.94,1.33,0.41,2.73,1.18,0.77,1.22,1.09,0.88,0,0,0,0,0,0
RACS820111 ,0.93,1.52,0.92,0.6,1.08,0.94,0.73,0.78,1.08,1.74,1.03,1,1.31,1.51,1.37,0.97,1.38,1.12,1.65,1.7,0,0,0,0,0,0
RACS820112 ,0.99,1.19,1.15,1.18,2.32,1.52,1.36,1.4,1.06,0.81,1.26,0.91,1,1.25,0,1.5,1.18,1.33,1.09,1.01,0,0,0,0,0,0
RACS820113 ,17.05,21.25,34.81,19.27,28.84,15.42,20.12,38.14,23.07,16.66,10.89,16.46,20.61,16.26,23.94,19.95,18.92,23.36,26.49,17.06,0,0,0,0,0,0
RACS820114 ,14.53,17.82,13.59,19.78,30.57,22.18,18.19,37.16,22.63,20.28,14.3,14.07,20.61,19.61,52.63,18.56,21.09,19.78,26.36,21.87,0,0,0,0,0,0
RADA880101 ,1.81,-14.92,-6.64,-8.72,1.28,-5.54,-6.81,0.94,-4.66,4.92,4.92,-5.55,2.35,2.98,0,-3.4,-2.57,2.33,-0.14,4.04,0,0,0,0,0,0
RADA880102 ,0.52,-1.32,-0.01,0,0,-0.07,-0.79,0,0.95,2.04,1.76,0.08,1.32,2.09,0,0.04,0.27,2.51,1.63,1.18,0,0,0,0,0,0
RADA880103 ,0.13,-5,-3.04,-2.23,-2.52,-3.84,-3.43,1.45,-5.61,-2.77,-2.64,-3.97,-3.83,-3.74,0,-1.66,-2.31,-8.21,-5.97,-2.05,0,0,0,0,0,0
RADA880104 ,1.29,-13.6,-6.63,0,0,-5.47,-6.02,0.94,-5.61,2.88,3.16,-5.63,1.03,0.89,0,-3.44,-2.84,-0.18,-1.77,2.86,0,0,0,0,0,0
RADA880105 ,1.42,-18.6,-9.67,0,0,-9.31,-9.45,2.39,-11.22,0.11,0.52,-9.6,-2.8,-2.85,0,-5.1,-5.15,-8.39,-7.74,0.81,0,0,0,0,0,0
RADA880106 ,93.7,250.4,146.3,142.6,135.2,177.7,182.9,52.6,188.1,182.2,173.7,215.2,197.6,228.6,0,109.5,142.1,271.6,239.9,157.2,0,0,0,0,0,0
RADA880107 ,-0.29,-2.71,-1.18,-1.02,0,-1.53,-0.9,-0.34,-0.94,0.24,-0.12,-2.05,-0.24,0,0,-0.75,-0.71,-0.59,-1.02,0.09,0,0,0,0,0,0
RADA880108 ,-0.06,-0.84,-0.48,-0.8,1.36,-0.73,-0.77,-0.41,0.49,1.31,1.21,-1.18,1.27,1.27,0,-0.5,-0.27,0.88,0.33,1.09,0,0,0,0,0,0
RICJ880101 ,0.7,0.4,1.2,1.4,0.6,1,1,1.6,1.2,0.9,0.9,1,0.3,1.2,0.7,1.6,0.3,1.1,1.9,0.7,0,0,0,0,0,0
RICJ880102 ,6.5,-0.9,-5.1,0.5,-1.3,1,7.8,-8.6,1.2,0.6,3.2,2.3,5.3,1.6,-7.7,-3.9,-2.6,1.2,-4.5,1.4,0,0,0,0,0,0
RICJ880103 ,2.3,-5.2,0.3,7.4,0.8,-0.7,10.3,-5.2,-2.8,-4,-2.1,-4.1,-3.5,-1.1,8.1,-3.5,2.3,-0.9,-3.7,-4.4,0,0,0,0,0,0
RICJ880104 ,6.7,0.3,-6.1,-3.1,-4.9,0.6,2.2,-6.8,-1,3.2,5.5,0.5,7.2,2.8,-22.8,-3,-4,4,-4.6,2.5,0,0,0,0,0,0
RICJ880105 ,2.3,1.4,-3.3,-4.4,6.1,2.7,2.5,-8.3,5.9,-0.5,0.1,7.3,3.5,1.6,-24.4,-1.9,-3.7,-0.9,-0.6,2.3,0,0,0,0,0,0
RICJ880106 ,-2.3,0.4,-4.1,-4.4,4.4,1.2,-5,-4.2,-2.5,6.7,2.3,-3.3,2.3,2.6,-1.8,-1.7,1.3,-1,4,6.8,0,0,0,0,0,0
RICJ880107 ,-2.7,0.4,-4.2,-4.4,3.7,0.8,-8.1,-3.9,-3,7.7,3.7,-2.9,3.7,3,-6.6,-2.4,1.7,0.3,3.3,7.1,0,0,0,0,0,0
RICJ880108 ,0,1.1,-2,-2.6,5.4,2.4,3.1,-3.4,0.8,-0.1,-3.7,-3.1,-2.1,0.7,7.4,1.3,0,-3.4,4.8,2.7,0,0,0,0,0,0
RICJ880109 ,-5,2.1,4.2,3.1,4.4,0.4,-4.7,5.7,-0.3,-4.6,-5.6,1,-4.8,-1.8,2.6,2.6,0.3,3.4,2.9,-6,0,0,0,0,0,0
RICJ880110 ,-3.3,0,5.4,3.9,-0.3,-0.4,-1.8,-1.2,3,-0.5,-2.3,-1.2,-4.3,0.8,6.5,1.8,-0.7,-0.8,3.1,-3.5,0,0,0,0,0,0
RICJ880111 ,-4.7,2,3.9,1.9,6.2,-2,-4.2,5.7,-2.6,-7,-6.2,2.8,-4.8,-3.7,3.6,2.1,0.6,3.3,3.8,-6.2,0,0,0,0,0,0
RICJ880112 ,-3.7,1,-0.6,-0.6,4,3.4,-4.3,5.9,-0.8,-0.5,-2.8,1.3,-1.6,1.6,-6,1.5,1.2,6.5,1.3,-4.6,0,0,0,0,0,0
RICJ880113 ,-2.5,-1.2,4.6,0,-4.7,-0.5,-4.4,4.9,1.6,-3.3,-2,-0.8,-4.1,-4.1,5.8,2.5,1.7,1.2,-0.6,-3.5,0,0,0,0,0,0
RICJ880114 ,-5.1,2.6,4.7,3.1,3.8,0.2,-5.2,5.6,-0.9,-4.5,-5.4,1,-5.3,-2.4,3.5,3.2,0,2.9,3.2,-6.3,0,0,0,0,0,0
RICJ880115 ,-1,0.3,-0.7,-1.2,2.1,-0.1,-0.7,0.3,1.1,4,2,-0.9,1.8,2.8,0.4,-1.2,-0.5,3,2.1,1.4,0,0,0,0,0,0
RICJ880116 ,86.6,162.2,103.3,97.8,132.3,119.2,113.9,62.9,155.8,158,164.1,115.5,172.9,194.1,92.9,85.6,106.5,224.6,177.7,141,0,0,0,0,0,0
RICJ880117 ,0.74,0.64,0.63,0.62,0.91,0.62,0.62,0.72,0.78,0.88,0.85,0.52,0.85,0.88,0.64,0.66,0.7,0.85,0.76,0.86,0,0,0,0,0,0
ROBB760101 ,-0.67,12.1,7.23,8.72,-0.34,6.39,7.35,0,3.82,-3.02,-3.02,6.13,-1.3,-3.24,-1.75,4.35,3.86,-2.86,0.98,-2.18,0,0,0,0,0,0
ROBB760102 ,-0.67,3.89,2.27,1.57,-2,2.12,1.78,0,1.09,-3.02,-3.02,2.46,-1.67,-3.24,-1.75,0.1,-0.42,-2.86,0.98,-2.18,0,0,0,0,0,0
ROBB760103 ,0.4,0.3,0.9,0.8,0.5,0.7,1.3,0,1,0.4,0.6,0.4,0.3,0.7,0.9,0.4,0.4,0.6,1.2,0.4,0,0,0,0,0,0
ROBB760104 ,0.73,0.73,-0.01,0.54,0.7,-0.1,0.55,0,1.1,2.97,2.49,1.5,1.3,2.65,2.6,0.04,0.44,3,2.97,1.69,0,0,0,0,0,0
ROBB760105 ,239,211,249,171,0.22,0.26,187,0.16,205,273,281,228,253,234,165,236,213,183,193,255,0,0,0,0,0,0
ROBB760106 ,0.33,-176,-233,-371,74,-254,-409,0.37,-78,149,129,-75,-92,-11,0.37,22,136,-11,-138,245,0,0,0,0,0,0
ROBB760107 ,-0.11,79,-136,-285,-184,-67,-246,-73,0.32,1,-8,49,-41,438,-16,-153,-208,493,381,-155,0,0,0,0,0,0
ROBB760108 ,-62,-167,166,-79,0.38,-25,-184,-17,56,-309,-264,-371,77,74,-36,0.47,348,0.05,0.22,-212,0,0,0,0,0,0
ROBB760109 ,1071,1033,784,0.68,922,977,0.97,591,0.85,1.14,1.14,939,1.2,1086,659,0.76,817,1107,1.02,0.95,0,0,0,0,0,0
ROBB760110 ,8,0.1,0.1,70,26,33,6,0.1,0.1,55,33,1,54,18,42,0.1,0.1,77,66,0.1,0,0,0,0,0,0
ROBB760111 ,-0.4,-0.59,-0.92,-1.31,0.17,-0.91,-1.22,-0.67,-0.64,1.25,1.22,-0.67,1.02,1.92,-0.49,-0.55,-0.28,0.5,1.67,0.91,0,0,0,0,0,0
ROBB760112 ,1.42,1.06,0.71,1.01,0.73,1.02,1.63,0.5,1.2,1.12,1.29,1.24,1.21,1.16,0.65,0.71,0.78,1.05,0.67,0.99,0,0,0,0,0,0
ROBB760113 ,946,1128,432,1311,481,1615,698,0.36,2168,1283,1192,1203,0,963,2093,523,1961,1925,802,409,0,0,0,0,0,0
ROBB790101 ,0.79,1087,832,0.53,1268,1038,643,725,864,1361,1111,735,1092,1052,1249,1093,1214,1114,1.34,1428,0,0,0,0,0,0
ROSG850101 ,1194,795,659,1056,678,1.29,928,1015,611,603,595,1.06,831,377,3159,1444,1172,452,816,0.64,0,0,0,0,0,0
ROSG850102 ,497,677,2072,1498,1348,711,651,1848,1474,471,656,932,425,1348,179,1151,749,1283,1283,654,0,0,0,0,0,0
ROSM880101 ,937,1725,1.08,1.64,1004,1078,679,901,1085,178,808,1254,886,803,748,1145,1487,803,1227,625,0,0,0,0,0,0
ROSM880102 ,289,1.38,3169,917,1767,2372,285,4259,1061,262,0,1288,0,393,0,0.16,218,0,654,167,0,0,0,0,0,0
ROSM880103 ,328,2088,1498,3379,0,0,0,0.5,1204,2078,414,835,982,1336,415,1089,1732,1781,0,946,0,0,0,0,0,0
SIMZ760101 ,945,364,1202,1315,932,704,1014,2355,525,673,758,947,1028,622,579,1.14,863,777,907,561,0,0,0,0,0,0
SNEP660101 ,842,936,1352,1366,1032,998,758,1349,1079,459,665,1045,668,881,1385,1257,1055,881,1101,643,0,0,0,0,0,0
SNEP660102 ,135,296,196,289,159,236,184,51,223,173,215,0.17,239,87,151,0.01,0.1,166,66,285,0,0,0,0,0,0
SNEP660103 ,507,459,287,223,592,383,445,0.39,0.31,111,619,559,431,77,739,689,785,0.16,0.06,356,0,0,0,0,0,0
SNEP660104 ,159,194,385,283,187,236,206,49,233,581,83,159,198,682,366,0.15,74,463,737,301,0,0,0,0,0,0
SUEM840101 ,0.03731,0.09593,0.00359,0.1263,0.08292,0.07606,0.0058,0.00499,0.02415,0,0,0.0371,0.08226,0.0946,0.01979,0.08292,0.09408,0.05481,0.05159,0.00569,0,0,0,0,0,0
SUEM840102 ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
SWER830101 ,-12.04,39.23,4.25,23.22,3.95,2.16,16.81,-7.85,6.28,-18.32,-17.79,9.71,-8.86,-21.98,5.82,-1.54,-4.15,-16.19,-1.51,-16.22,0,0,0,0,0,0
TANS770101 ,10.04,6.18,5.63,5.76,8.89,5.41,5.37,7.99,7.49,8.72,8.79,4.4,9.15,7.98,7.79,7.08,7,8.07,6.9,8.88,0,0,0,0,0,0
TANS770102 ,0.89,0.88,0.89,0.87,0.85,0.82,0.84,0.92,0.83,0.76,0.73,0.97,0.74,0.52,0.82,0.96,0.92,0.2,0.49,0.85,0,0,0,0,0,0
TANS770103 ,0.52,0.49,0.42,0.37,0.83,0.35,0.38,0.41,0.7,0.79,0.77,0.31,0.76,0.87,0.35,0.49,0.38,0.86,0.64,0.72,0,0,0,0,0,0
TANS770104 ,0.16,-0.2,1.03,-0.24,-0.12,-0.55,-0.45,-0.16,-0.18,-0.19,-0.44,-0.12,-0.79,-0.25,-0.59,-0.01,0.05,-0.33,-0.42,-0.46,0,0,0,0,0,0
TANS770105 ,0.15,-0.37,0.69,-0.22,-0.19,-0.06,0.14,0.36,-0.25,0.02,0.06,-0.16,0.11,1.18,0.11,0.13,0.28,-0.12,0.19,-0.08,0,0,0,0,0,0
TANS770106 ,-0.07,-0.4,-0.57,-0.8,0.17,-0.26,-0.63,0.27,-0.49,0.06,-0.17,-0.45,0.03,0.4,-0.47,-0.11,0.09,-0.61,-0.61,-0.11,0,0,0,0,0,0
TANS770107 ,7,9.1,10,13,5.5,8.6,12.5,7.9,8.4,4.9,4.9,10.1,5.3,5,6.6,7.5,6.6,5.3,5.7,5.6,0,0,0,0,0,0
TANS770108 ,1.94,-19.92,-9.68,-10.95,-1.24,-9.38,-10.2,2.39,-10.27,2.15,2.28,-9.52,-1.48,-0.76,-3.68,-5.06,-4.88,-5.88,-6.11,1.99,0,0,0,0,0,0
TANS770109 ,0.07,2.88,3.22,3.64,0.71,2.18,3.08,2.23,2.41,-4.44,-4.19,2.84,-2.49,-4.92,-1.22,1.96,0.92,-4.75,-1.39,-2.69,0,0,0,0,0,0
TANS770110 ,-1.73,2.52,1.45,1.13,-0.97,0.53,0.39,-5.36,1.74,-1.68,-1.03,1.41,-0.27,1.3,0.88,-1.63,-2.09,3.65,2.32,-2.53,0,0,0,0,0,0
VASM830101 ,0.09,-3.44,0.84,2.36,4.13,-1.14,-0.07,0.3,1.11,-1.03,-0.98,-3.14,-0.41,0.45,2.23,0.57,-1.4,0.85,0.01,-1.29,0,0,0,0,0,0
VASM830102 ,8.5,0,8.2,8.5,11,6.3,8.8,7.1,10.1,16.8,15,7.9,13.3,11.2,8.2,7.4,8.8,9.9,8.8,12,0,0,0,0,0,0
VASM830103 ,6.8,0,6.2,7,8.3,8.5,4.9,6.4,9.2,10,12.2,7.5,8.4,8.3,6.9,8,7,5.7,6.8,9.4,0,0,0,0,0,0
VELV850101 ,18.08,0,17.47,17.36,18.17,17.93,18.16,18.24,18.49,18.62,18.6,17.96,18.11,17.3,18.16,17.57,17.54,17.19,17.99,18.3,0,0,0,0,0,0
VENT840101 ,18.56,0,18.24,17.94,17.84,18.51,17.97,18.57,18.64,19.21,19.01,18.36,18.49,17.95,18.77,18.06,17.71,16.87,18.23,18.98,0,0,0,0,0,0
VHEG790101 ,-152,-89,-203,-355,0,-181,-411,-0.19,0,-86,-102,-62,-107,1,-181,-203,-0.17,275,0,-125,0,0,0,0,0,0
WARP780101 ,0.83,0.83,0.09,0.64,1.48,0,0.65,0.1,1.1,3.07,2.52,1.6,1.4,2.75,2.7,0.14,0.54,0.31,2.97,1.79,0,0,0,0,0,0
WEBA780101 ,11.5,14.28,12.82,11.68,13.46,14.45,13.57,3.4,13.69,21.4,21.4,15.71,16.25,19.8,17.43,9.47,15.77,21.67,18.03,21.57,0,0,0,0,0,0
WERD780101 ,0,52,3.38,49.7,1.48,3.53,49.9,0,51.6,0.13,0.13,49.5,1.43,0.35,1.58,1.67,1.66,2.1,1.61,0.13,0,0,0,0,0,0
WERD780102 ,6,10.76,5.41,2.77,5.05,5.65,3.22,5.97,7.59,6.02,5.98,9.74,5.74,5.48,6.3,5.68,5.66,5.89,5.66,5.96,0,0,0,0,0,0
WERD780103 ,9.9,4.6,5.4,2.8,2.8,9,3.2,5.6,8.2,17.1,17.6,3.5,14.9,18.8,14.8,6.9,9.5,17.1,15,14.3,0,0,0,0,0,0
WERD780104 ,0.94,1.15,0.79,1.19,0.6,0.94,1.41,1.18,1.15,1.07,0.95,1.03,0.88,1.06,1.18,0.69,0.87,0.91,1.04,0.9,0,0,0,0,0,0
WOEC730101 ,0.98,1.14,1.05,1.05,0.41,0.9,1.04,1.25,1.01,0.88,0.8,1.06,1.12,1.12,1.31,1.02,0.8,0.9,1.12,0.87,0,0,0,0,0,0
WOLR810101 ,0.75,0.9,1.24,1.72,0.66,1.08,1.1,1.14,0.96,0.8,1.01,0.66,1.02,0.88,1.33,1.2,1.13,0.68,0.8,0.58,0,0,0,0,0,0
WOLS870101 ,0.67,0.76,1.28,1.58,0.37,1.05,0.94,0.98,0.83,0.78,0.79,0.84,0.98,0.96,1.12,1.25,1.41,0.94,0.82,0.67,0,0,0,0,0,0
WOLS870102 ,1.1,1.05,0.72,1.14,0.26,1.31,2.3,0.55,0.83,1.06,0.84,1.08,0.9,0.9,1.67,0.81,0.77,1.26,0.99,0.76,0,0,0,0,0,0
WOLS870103 ,1.39,0.95,0.67,1.64,0.52,1.6,2.07,0.65,1.36,0.64,0.91,0.8,1.1,1,0.94,0.69,0.92,1.1,0.73,0.7,0,0,0,0,0,0
YUTK870101 ,1.43,1.33,0.55,0.9,0.52,1.43,1.7,0.56,0.66,1.18,1.52,0.82,1.68,1.1,0.15,0.61,0.75,1.68,0.65,1.14,0,0,0,0,0,0
YUTK870102 ,1.55,1.39,0.6,0.61,0.59,1.43,1.34,0.37,0.89,1.47,1.36,1.27,2.13,1.39,0.03,0.44,0.65,1.1,0.93,1.18,0,0,0,0,0,0
YUTK870103 ,1.8,1.73,0.73,0.9,0.55,0.97,1.73,0.32,0.46,1.09,1.47,1.24,1.64,0.96,0.15,0.67,0.7,0.68,0.91,0.81,0,0,0,0,0,0
YUTK870104 ,1.52,1.49,0.58,1.04,0.26,1.41,1.76,0.3,0.83,1.25,1.26,1.1,1.14,1.14,0.44,0.66,0.73,0.68,1.04,1.03,0,0,0,0,0,0
ZASB820101 ,1.49,1.41,0.67,0.94,0.37,1.52,1.55,0.29,0.96,1.04,1.4,1.17,1.84,0.86,0.2,0.68,0.79,1.52,1.06,0.94,0,0,0,0,0,0
ZIMJ680101 ,1.73,1.24,0.7,0.68,0.63,0.88,1.16,0.32,0.76,1.15,1.8,1.22,2.21,1.35,0.07,0.65,0.46,1.57,1.1,0.94,0,0,0,0,0,0
ZIMJ680102 ,1.33,1.39,0.64,0.6,0.44,1.37,1.43,0.2,1.02,1.58,1.63,1.71,1.76,1.22,0.07,0.42,0.57,1,1.02,1.08,0,0,0,0,0,0
ZIMJ680103 ,1.87,1.66,0.7,0.91,0.33,1.24,1.88,0.33,0.89,0.9,1.65,1.63,1.35,0.67,0.03,0.71,0.5,1,0.73,0.51,0,0,0,0,0,0
ZIMJ680104 ,1.19,1.45,1.33,0.72,0.44,1.43,1.27,0.74,1.55,0.61,1.36,1.45,1.35,1.2,0.1,1.02,0.82,0.58,1.06,0.46,0,0,0,0,0,0
ZIMJ680105 ,0.77,1.11,1.39,0.79,0.44,0.95,0.92,2.74,1.65,0.64,0.66,1.19,0.74,1.04,0.66,0.64,0.82,0.58,0.93,0.53,0,0,0,0,0,0
AURR980101 ,0.93,0.96,0.82,1.15,0.67,1.02,1.07,1.08,1.4,1.14,1.16,1.27,1.11,1.05,1.01,0.71,0.84,1.06,1.15,0.74,0,0,0,0,0,0
AURR980102 ,0.71,1.09,0.95,1.43,0.65,0.87,1.19,1.07,1.13,1.05,0.84,1.1,0.8,0.95,1.7,0.65,86,1.25,0.85,1.12,0,0,0,0,0,0
AURR980103 ,13.4,13.3,12,11.7,11.6,12.8,12.2,11.3,11.6,12,13,13,12.8,12.1,6.5,12.2,11.7,12.4,12.1,11.9,0,0,0,0,0,0
AURR980104 ,-0.77,-0.68,-0.07,-0.15,-0.23,-0.33,-0.27,0,-0.06,-0.23,-0.62,-0.65,-0.5,-0.41,3,-0.35,-0.11,-0.45,-0.17,-0.14,0,0,0,0,0,0
AURR980105 ,984,1008,1048,1068,906,1037,1094,1031,0.95,927,935,1102,952,915,1049,1046,997,904,929,931,0,0,0,0,0,0
AURR980106 ,1315,1.31,1.38,1372,1196,1342,1376,1382,1279,1241,1234,1367,1269,1247,1342,1381,1324,1186,1199,1235,0,0,0,0,0,0
AURR980107 ,994,1026,1022,1022,939,1041,1052,1018,967,977,982,1029,963,934,1.05,1025,998,938,981,968,0,0,0,0,0,0
AURR980108 ,783,807,799,822,785,817,826,784,777,776,783,834,806,774,809,811,795,796,788,781,0,0,0,0,0,0
AURR980109 ,423,503,906,0.87,877,594,167,1162,802,566,494,615,444,706,1945,928,884,0.69,778,706,0,0,0,0,0,0
AURR980110 ,619,753,1089,932,1107,0.77,675,1361,1034,876,0.74,784,736,968,1.78,969,1053,0.91,1009,939,0,0,0,0,0,0
AURR980111 ,1.08,976,1197,1266,733,1.05,1085,1104,906,583,789,1026,812,685,1412,987,784,755,665,546,0,0,0,0,0,0
AURR980112 ,978,784,915,1038,573,863,962,1405,724,502,766,841,729,585,2613,784,569,671,0.56,444,0,0,0,0,0,0
AURR980113 ,1.4,1.23,1.61,1.89,1.14,1.33,1.42,2.06,1.25,1.02,1.33,1.34,1.12,1.07,3.9,1.2,0.99,1.1,0.98,0.87,0,0,0,0,0,0
AURR980114 ,4.08,3.91,3.83,3.02,4.49,3.67,2.23,4.24,4.08,4.52,4.81,3.77,4.48,5.38,3.8,4.12,4.11,6.1,5.19,4.18,0,0,0,0,0,0
AURR980115 ,-0.35,-0.44,-0.38,-0.41,-0.47,-0.4,-0.41,0,-0.46,-0.56,-0.48,-0.41,-0.46,-0.55,-0.23,-0.39,-0.48,-0.48,-0.5,-0.53,0,0,0,0,0,0
AURR980116 ,0.5,1.7,1.7,1.6,0.6,1.6,1.6,1.3,1.6,0.6,0.4,1.6,0.5,0.4,1.7,0.7,0.4,0.7,0.6,0.5,0,0,0,0,0,0
AURR980117 ,0.96,0.77,0.39,0.42,0.42,0.8,0.53,0,0.57,0.84,0.92,0.73,0.86,0.59,-2.5,0.53,0.54,0.58,0.72,0.63,0,0,0,0,0,0
AURR980118 ,343,353,409,429,319,395,405,389,307,296,287,429,293,292,432,416,362,268,0.22,307,0,0,0,0,0,0
AURR980119 ,0.32,327,384,424,198,436,514,374,299,306,0.34,446,313,314,354,376,339,291,287,294,0,0,0,0,0,0
AURR980120 ,8.9,4.6,4.4,6.3,0.6,2.8,6.9,9.4,2.2,7,7.4,6.1,2.3,3.3,4.2,4,5.7,1.3,4.5,8.2,0,0,0,0,0,0
ONEK900101 ,9.2,3.6,5.1,6,1,2.9,6,9.4,2.1,6,7.7,6.5,2.4,3.4,4.2,5.5,5.7,1.2,3.7,8.2,0,0,0,0,0,0
ONEK900102 ,14.1,5.5,3.2,5.7,0.1,3.7,8.8,4.1,2,7.1,9.1,7.7,3.3,5,0.7,3.9,4.4,1.2,4.5,5.9,0,0,0,0,0,0
VINM940101 ,13.4,3.9,3.7,4.6,0.8,4.8,7.8,4.6,3.3,6.5,10.6,7.5,3,4.5,1.3,3.8,4.6,1,3.3,7.1,0,0,0,0,0,0
VINM940102 ,9.8,7.3,3.6,4.9,3,2.4,4.4,0,11.9,17.2,17,10.5,11.9,23,15,2.6,6.9,24.2,17.2,15.3,0,0,0,0,0,0
VINM940103 ,0.7,0.95,1.47,0.87,1.17,0.73,0.96,0.64,1.39,1.29,1.44,0.91,0.91,1.34,0.12,0.84,0.74,1.8,1.68,1.2,0,0,0,0,0,0
VINM940104 ,58,-184,-93,-97,116,-139,-131,-11,-73,107,95,-24,78,92,-79,-34,-7,59,-11,100,0,0,0,0,0,0
MUNV940101 ,51,-144,-84,-78,137,-128,-115,-13,-55,106,103,-205,73,108,-79,-26,-3,69,11,108,0,0,0,0,0,0
MUNV940102 ,41,-109,-74,-47,169,-104,-90,-18,-35,104,103,-148,77,128,-81,-31,10,102,36,116,0,0,0,0,0,0
MUNV940103 ,32,-95,-73,-29,182,-95,-74,-22,-25,106,104,-124,82,132,-82,-34,20,118,44,113,0,0,0,0,0,0
MUNV940104 ,24,-79,-76,0,194,-87,-57,-28,-31,102,103,-9,90,131,-85,-36,34,116,43,111,0,0,0,0,0,0
MUNV940105 ,5,-57,-77,45,224,-67,-8,-47,-50,83,82,-38,83,117,-103,-41,79,130,27,117,0,0,0,0,0,0
WIMW960101 ,-2,-41,-97,248,329,-37,117,-66,-70,28,36,115,62,120,-132,-52,174,179,-7,114,0,0,0,0,0,0
KIMC930101 ,0.4,1.5,1.6,15,0.7,1.4,1.3,1.1,1.4,0.5,0.3,1.4,0.5,0.3,1.6,0.9,0.7,0.9,0.9,0.4,0,0,0,0,0,0
MONM990101 ,-0.04,-0.3,0.25,0.27,0.57,-0.02,-0.33,1.24,-0.11,-0.26,-0.38,-0.18,-0.09,-0.01,0,0.15,0.39,0.21,0.05,-0.06,0,0,0,0,0,0
BLAM930101 ,-0.12,0.34,1.05,1.12,-0.63,1.67,0.91,0.76,1.34,-0.77,0.15,0.29,-0.71,-0.67,0,1.45,-0.7,-0.14,-0.49,-0.7,0,0,0,0,0,0
